Target,Scenario,Covariates,Window,Horizon,MAPE,MAE,MSE
IHSG,Short-Term Sprint,None,30,1,0.5365,37.8132,2664.9959
IHSG,Short-Term Sprint,Domestic,30,1,0.5366,37.8185,2667.0926
IHSG,Short-Term Sprint,Global,30,1,0.554,39.0152,2946.2513
IHSG,Short-Term Sprint,All,30,1,0.5546,39.056,2960.7438
IHSG,Short-Term Sprint,Inflation,30,1,0.5361,37.7804,2658.8018
IHSG,Short-Term Sprint,GDP,30,1,0.5364,37.8029,2661.4788
IHSG,Short-Term Sprint,CPI,30,1,0.5364,37.8061,2663.5453
IHSG,Short-Term Sprint,Unemployment,30,1,0.5362,37.7923,2658.4257
IHSG,Short-Term Sprint,USD,30,1,0.5496,38.7092,2886.3805
IHSG,Short-Term Sprint,Brent,30,1,0.5364,37.8061,2661.4135
IHSG,Short-Term Sprint,WTI,30,1,0.5365,37.8146,2662.5615
IHSG,Medium-Term Pace,None,60,5,0.8343,58.6955,7919.9357
IHSG,Medium-Term Pace,Domestic,60,5,0.8357,58.81,7903.054
IHSG,Medium-Term Pace,Global,60,5,0.8408,59.1358,8022.8477
IHSG,Medium-Term Pace,All,60,5,0.8368,58.8647,7907.7726
IHSG,Medium-Term Pace,Inflation,60,5,0.8345,58.7059,7926.5134
IHSG,Medium-Term Pace,GDP,60,5,0.8356,58.8059,7897.8448
IHSG,Medium-Term Pace,CPI,60,5,0.8347,58.722,7927.4736
IHSG,Medium-Term Pace,Unemployment,60,5,0.8343,58.6965,7928.0044
IHSG,Medium-Term Pace,USD,60,5,0.8363,58.8197,7947.5005
IHSG,Medium-Term Pace,Brent,60,5,0.8345,58.708,7929.839
IHSG,Medium-Term Pace,WTI,60,5,0.8349,58.7347,7928.2729
IHSG,Long-Term Marathon,None,90,10,1.2222,85.9872,15349.1897
IHSG,Long-Term Marathon,Domestic,90,10,1.5395,108.8159,21452.3051
IHSG,Long-Term Marathon,Global,90,10,1.222,85.9712,15363.9629
IHSG,Long-Term Marathon,All,90,10,1.7153,121.3823,25835.6294
IHSG,Long-Term Marathon,Inflation,90,10,1.2222,85.9872,15349.1897
IHSG,Long-Term Marathon,GDP,90,10,1.5543,109.8658,21880.1703
IHSG,Long-Term Marathon,CPI,90,10,1.2222,85.9872,15349.1897
IHSG,Long-Term Marathon,Unemployment,90,10,1.2222,85.9872,15349.1897
IHSG,Long-Term Marathon,USD,90,10,1.2224,85.9981,15370.9311
IHSG,Long-Term Marathon,Brent,90,10,1.2214,85.9328,15339.3805
IHSG,Long-Term Marathon,WTI,90,10,1.2197,85.8076,15329.9821
LQ45,Short-Term Sprint,None,30,1,0.6349,6.0443,68.0139
LQ45,Short-Term Sprint,Domestic,30,1,0.6351,6.0466,68.0417
LQ45,Short-Term Sprint,Global,30,1,0.6497,6.1739,72.6398
LQ45,Short-Term Sprint,All,30,1,0.6522,6.1947,72.9355
LQ45,Short-Term Sprint,Inflation,30,1,0.6353,6.0476,68.1829
LQ45,Short-Term Sprint,GDP,30,1,0.636,6.0551,68.0626
LQ45,Short-Term Sprint,CPI,30,1,0.635,6.0447,68.1031
LQ45,Short-Term Sprint,Unemployment,30,1,0.6354,6.0486,68.2007
LQ45,Short-Term Sprint,USD,30,1,0.6522,6.1932,73.052
LQ45,Short-Term Sprint,Brent,30,1,0.6344,6.0393,68.1666
LQ45,Short-Term Sprint,WTI,30,1,0.6361,6.0563,68.4609
LQ45,Medium-Term Pace,None,60,5,1.019,9.6872,199.1014
LQ45,Medium-Term Pace,Domestic,60,5,1.0196,9.6925,199.1345
LQ45,Medium-Term Pace,Global,60,5,1.0325,9.8028,203.8789
LQ45,Medium-Term Pace,All,60,5,1.0347,9.8223,205.1334
LQ45,Medium-Term Pace,Inflation,60,5,1.0186,9.6823,198.867
LQ45,Medium-Term Pace,GDP,60,5,1.0185,9.6813,198.8447
LQ45,Medium-Term Pace,CPI,60,5,1.0188,9.6846,198.9798
LQ45,Medium-Term Pace,Unemployment,60,5,1.0185,9.6817,198.9365
LQ45,Medium-Term Pace,USD,60,5,1.0375,9.8462,206.9186
LQ45,Medium-Term Pace,Brent,60,5,1.0183,9.6797,198.7759
LQ45,Medium-Term Pace,WTI,60,5,1.0184,9.6803,198.8054
LQ45,Long-Term Marathon,None,90,10,1.4523,13.812,375.6865
LQ45,Long-Term Marathon,Domestic,90,10,1.8067,17.3506,527.4571
LQ45,Long-Term Marathon,Global,90,10,1.4619,13.8994,381.0397
LQ45,Long-Term Marathon,All,90,10,1.8102,17.3996,524.2513
LQ45,Long-Term Marathon,Inflation,90,10,1.4522,13.8108,375.6106
LQ45,Long-Term Marathon,GDP,90,10,1.7955,17.2401,522.1508
LQ45,Long-Term Marathon,CPI,90,10,1.4522,13.8108,375.6106
LQ45,Long-Term Marathon,Unemployment,90,10,1.4522,13.8108,375.6106
LQ45,Long-Term Marathon,USD,90,10,1.4647,13.9261,382.6035
LQ45,Long-Term Marathon,Brent,90,10,1.4514,13.8032,375.1982
LQ45,Long-Term Marathon,WTI,90,10,1.4524,13.8127,375.7045
KOMPAS100,Short-Term Sprint,None,30,1,0.6064,7.1273,96.0284
KOMPAS100,Short-Term Sprint,Domestic,30,1,0.6234,7.3273,104.9098
KOMPAS100,Short-Term Sprint,Global,30,1,0.6227,7.3009,104.2704
KOMPAS100,Short-Term Sprint,All,30,1,0.6367,7.4655,111.1383
KOMPAS100,Short-Term Sprint,Inflation,30,1,0.6062,7.1247,95.9838
KOMPAS100,Short-Term Sprint,GDP,30,1,0.6221,7.3106,103.815
KOMPAS100,Short-Term Sprint,CPI,30,1,0.6063,7.1254,95.7434
KOMPAS100,Short-Term Sprint,Unemployment,30,1,0.6088,7.1523,96.4152
KOMPAS100,Short-Term Sprint,USD,30,1,0.6194,7.2613,103.0317
KOMPAS100,Short-Term Sprint,Brent,30,1,0.6059,7.1197,95.7165
KOMPAS100,Short-Term Sprint,WTI,30,1,0.6063,7.1259,95.8935
KOMPAS100,Medium-Term Pace,None,60,5,0.9695,11.3816,290.5051
KOMPAS100,Medium-Term Pace,Domestic,60,5,0.9704,11.393,291.1162
KOMPAS100,Medium-Term Pace,Global,60,5,1.4216,16.6468,584.9497
KOMPAS100,Medium-Term Pace,All,60,5,1.4198,16.6244,576.9241
KOMPAS100,Medium-Term Pace,Inflation,60,5,0.9695,11.3816,290.5051
KOMPAS100,Medium-Term Pace,GDP,60,5,0.9697,11.3844,290.8576
KOMPAS100,Medium-Term Pace,CPI,60,5,0.9695,11.3816,290.5051
KOMPAS100,Medium-Term Pace,Unemployment,60,5,0.9695,11.3816,290.5051
KOMPAS100,Medium-Term Pace,USD,60,5,1.2833,15.0407,474.057
KOMPAS100,Medium-Term Pace,Brent,60,5,0.97,11.3875,290.659
KOMPAS100,Medium-Term Pace,WTI,60,5,0.9692,11.378,290.4759
KOMPAS100,Long-Term Marathon,None,90,10,1.4112,16.5816,581.4298
KOMPAS100,Long-Term Marathon,Domestic,90,10,1.4242,16.7402,589.7443
KOMPAS100,Long-Term Marathon,Global,90,10,1.4792,17.4049,611.1073
KOMPAS100,Long-Term Marathon,All,90,10,1.517,17.8601,630.4761
KOMPAS100,Long-Term Marathon,Inflation,90,10,1.4113,16.5831,581.471
KOMPAS100,Long-Term Marathon,GDP,90,10,1.4241,16.7387,589.6995
KOMPAS100,Long-Term Marathon,CPI,90,10,1.4113,16.5831,581.471
KOMPAS100,Long-Term Marathon,Unemployment,90,10,1.4113,16.5831,581.471
KOMPAS100,Long-Term Marathon,USD,90,10,1.4226,16.7386,583.3061
KOMPAS100,Long-Term Marathon,Brent,90,10,1.4113,16.5831,581.4729
KOMPAS100,Long-Term Marathon,WTI,90,10,1.4106,16.5737,580.7011
